trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",25,0,-129.74427731935506,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",20,0,-99.45937404106364,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",25,0,-133.11542803942692,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",25,0,-142.6796300081266,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",25,0,-118.18874736183382,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",25,0,-145.95601312978943,"{0: 12, 1: 5, 2: 5, 3: 2, 4: 1}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",20,0,-102.024126168994,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",30,0,-61.28487399272943,"{0: 21, 1: 3, 2: 5, 3: 1, 4: 0}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",25,0,-243.57801430816943,"{0: 9, 1: 4, 2: 7, 3: 2, 4: 3}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520297}",30,0,-244.7090673525082,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 5}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",25,0,-140.08831019387713,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",25,0,-138.69856849551547,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",20,0,-63.28506456549715,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",25,0,-131.08331794465997,"{0: 11, 1: 5, 2: 8, 3: 0, 4: 1}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",20,0,-66.8928237623857,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
30,False,"{'a': 0.01, 'e': 0.955336489125606}",20,0,-80.83515312745718,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",20,0,-130.32518557074505,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",25,0,-122.61502456837864,"{0: 12, 1: 4, 2: 7, 3: 2, 4: 0}",0
33,False,"{'a': 0.01, 'e': 0.946042343528387}",25,0,-111.05916563159681,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",30,0,-80.87504141195014,"{0: 19, 1: 3, 2: 8, 3: 0, 4: 0}",0
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",25,0,-52.21800822633871,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",25,0,-146.23796130138885,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",20,15,-2.9973785295512263,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",20,1,-102.86703165250039,"{0: 8, 1: 6, 2: 4, 3: 0, 4: 1}",1
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",20,0,-46.63237656056899,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",20,8,-42.93588530113393,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",20,0,-147.28496039085994,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",20,0,-153.19814543297377,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",25,0,-111.91489273292613,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199635}",25,0,-115.41452531039955,"{0: 13, 1: 3, 2: 6, 3: 3, 4: 0}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",20,14,4.11428757338348,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.01, 'e': 0.8960524975255253}",20,0,-80.2336736379194,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
47,False,"{'a': 0.01, 'e': 0.8915682881953289}",30,0,-103.31528003635601,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 2}",0
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",20,13,-51.23638120674037,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 1}",1
49,False,"{'a': 0.01, 'e': 0.8823328586101216}",30,0,-87.18187653840138,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",25,0,-24.831476311543877,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",30,0,-67.21588253121463,"{0: 20, 1: 3, 2: 7, 3: 0, 4: 0}",0
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",25,0,-96.76227052295468,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",20,3,-55.67994345097855,"{0: 11, 1: 4, 2: 1, 3: 0, 4: 1}",1
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",20,0,-145.32541829898176,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",25,0,-85.80174677884824,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",20,2,-9.56102263246808,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",20,0,-66.75706938834394,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",25,14,9.13953958542734,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.01, 'e': 0.8309406791001634}",20,0,-133.2513704690229,"{0: 10, 1: 3, 2: 3, 3: 3, 4: 1}",0
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",25,4,-81.31274253602876,"{0: 14, 1: 1, 2: 3, 3: 3, 4: 0}",1
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",20,0,-91.92535563337391,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",25,3,-91.59106514751139,"{0: 13, 1: 4, 2: 3, 3: 1, 4: 1}",1
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",30,0,-94.24043924829603,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
